satellite,x_km,y_km,z_km
ARIANE_44L+3_R-B_002,9189.255,-4779.617,8784.818
ARIANE_44L+3_R-B_003,4828.676,-9692.008,-1313.6879
ARIANE_44L+3_R-B_004,10318.593,-7860.6743,7553.3604
ARIANE_44L+_DEB_(SPELDA)_001,1760.2712,-9001.179,-4973.7915
ARIANE_44L+_DEB_001,-7697.769,4811.025,-6165.228
ARIANE_44L+_DEB_002,-915.74243,-8629.456,-7202.8086
ARIANE_44L+_DEB_003,-9032.953,9136.733,-4039.9033
ARIANE_44L+_DEB_004,7117.4717,-3061.5044,7574.922
ARIANE_44L+_DEB_005,-7153.356,6742.786,-3784.5781
ARIANE_44L+_DEB_006,-3892.0376,-5615.4316,-8616.329
ARIANE_44L+_DEB_007,-8695.001,4288.974,-7863.1245
ARIANE_44L+_DEB_008,-7805.003,3435.2112,-7561.537
ARIANE_44L+_DEB_009,-7608.527,3114.8552,-7630.7876
ARIANE_44L+_DEB_010,1492.9318,-4629.5923,-2445.3306
ARIANE_44L+_DEB_011,9606.112,-4893.045,9239.099
ARIANE_44L+_DEB_012,-3993.7336,-4400.954,-8310.663
ARIANE_44L+_DEB_013,-4571.3394,6985.2827,23.514992
ARIANE_44L+_DEB_014,-8627.933,4423.5923,-7752.295
ARIANE_44L+_DEB_015,7918.155,-7017.2974,5055.387
ARIANE_44L+_R-B_001,-5952.8394,-1567.7056,-8991.857
ARIANE_44L+_R-B_002,-8033.165,11376.099,-1003.7184
ARIANE_44LP+_R-B_001,-4712.355,1904.1967,-4965.603
ARIANE_44LP+_R-B_002,-4355.405,612.4941,-5510.2705
ARIANE_44LP+_R-B_003,-5258.1855,-2851.3652,-8835.72
ARIANE_44LP+_R-B_004,-5676.032,6495.812,-2011.5752
ARIANE_44LP_DEB_(SPELDA)_001,-5024.2744,5087.9663,-2341.242
ARIANE_44LP_DEB_001,-6775.804,12665.078,1486.4879
ARIANE_44LP_DEB_002,-2417.9143,-5430.2524,-7592.1206
ARIANE_44LP_DEB_003,-6673.3765,3001.3333,-6586.44
ARIANE_44LP_DEB_004,-7998.941,9276.189,-2659.65
ARIANE_44LP_DEB_005,-441.9065,-4846.5557,-5036.2876
ARIANE_44LP_DEB_006,-9042.669,6600.2373,-6550.652
ARIANE_44LP_DEB_007,7534.024,402.31934,11612.836
ARIANE_44LP_DEB_008,9377.602,-4023.0369,9757.852
ARIANE_44LP_DEB_009,9601.782,-6441.243,7837.5425
ARIANE_44LP_DEB_010,-8736.146,5131.1733,-7584.0854
ARIANE_44LP_DEB_011,6487.362,-1100.2526,8633.26
ARIANE_44LP_DEB_012,-5854.274,-2441.8787,-9304.657
ARIANE_44LP_DEB_013,-3304.6414,-4587.5767,-7819.2593
ARIANE_44LP_DEB_014,1305.6084,-4910.1157,-2949.6995
ARIANE_44LP_DEB_015,-5160.9854,1459.7178,-5974.113
ARIANE_44LP_DEB_016,-3893.7327,-1248.843,-6438.402
ARIANE_44LP_DEB_017,6311.3857,-9834.925,432.88025
ARIANE_44LP_DEB_018,-7906.1772,2518.3972,-8591.704
ARIANE_44LP_DEB_019,-5419.791,7753.3994,-504.86713
ARIANE_44LP_DEB_020,1766.0425,-5630.8296,-2966.6365
ARIANE_44LP_DEB_021,7381.111,-818.8623,10201.593
ARIANE_44LP_DEB_022,7185.1606,-12691.189,202.49356
ARIANE_44LP_DEB_023,10784.067,-9297.624,6994.495
ARIANE_44LP_DEB_024,-9239.55,9823.767,-3897.2847
ARIANE_44LP_DEB_025,-9207.8955,9834.846,-3832.0015
ARIANE_44LP_DEB_026,-4999.01,11847.792,3112.5127
ARIANE_44LP_DEB_027,10548.148,-9630.017,6438.7227
ARIANE_44LP_DEB_028,-6685.717,1033.5507,-8152.4536
ARIANE_44LP_DEB_029,5582.2393,2338.5396,10819.465
ARIANE_44LP_DEB_030,-5309.0254,-2285.3052,-8435.066
ARIANE_44LP_R-B_001,6208.22,-12614.754,-975.5824
ARIANE_44LP_R-B_002,-4038.3354,11849.529,4641.793
ARIANE_44LP_R-B_003,10212.8545,-6156.479,8886.843
ARIANE_44LP_R-B_004,9945.907,-6508.875,8252.152
ARIANE_44LP_R-B_005,1696.0902,3645.6382,6421.8384
ARIANE_44L_DEB_(SPELDA)_001,8369.543,-10471.323,3134.5217
ARIANE_44L_DEB_(SPELDA)_002,-3520.6643,10739.464,4644.7266
ARIANE_44L_DEB_001,7553.3794,-1350.7357,9908.156
ARIANE_44L_DEB_002,-7142.807,12540.615,799.0158
ARIANE_44L_DEB_003,-6504.8345,-1101.1465,-9067.771
ARIANE_44L_DEB_004,5722.072,2756.3308,11401.473
ARIANE_44L_DEB_005,1428.8226,1419.6515,3540.2905
ARIANE_44L_DEB_006,-3145.7559,-4974.895,-8170.472
ARIANE_44L_DEB_007,4859.991,-3746.261,3450.08
ARIANE_44L_DEB_008,4746.9517,-10345.706,-1833.3889
ARIANE_44L_DEB_009,-8649.6,10875.954,-2179.1782
ARIANE_44L_DEB_010,-4291.909,700.5004,-5389.69
ARIANE_44L_DEB_011,99.16814,-4339.3833,-4136.63
ARIANE_44L_DEB_012,-6872.2856,10154.47,-405.66287
ARIANE_44L_DEB_013,-2459.4,8836.595,4743.8887
ARIANE_44L_DEB_014,1912.5833,6124.812,9062.463
ARIANE_44L_DEB_015,9535.57,-9344.987,5447.972
ARIANE_44L_DEB_016,-7975.911,9925.895,-2269.0605
ARIANE_44L_DEB_017,7089.835,-5269.523,5420.376
ARIANE_44L_DEB_018,-8809.52,8500.943,-4231.1904
